						
Position of PCB:						
bottom left corner of PCB outline: X=0 / Y=0						
												
name	X-axis	Y-axis	angle	value		package	side
						
REF1T	15.498	 1.900	0	via		circle	top
REF2T	39.628	48.100	0	via		circle	top

B1  	5.55 	42.27  	90 	B3U 		B3U	top
C1  	3.14 	30.58  	90 	2.2u 		C0402	top
C2  	3.14 	23.94 	270 	2.2u 		C0402	top
C3 	36.88	28.84   0 	1.0u 		C0402	top
C4	24.16	27.82 	180 	1.0u 		C0402	top
C5 	15.85	35.03  	90 	2.2u 		C0402	top
C6 	11.05	35.06  	90 	2.2u 		C0402	top
C7 	41.53	36.73   0 	4.7u 		C0805	top
C8 	24.52	34.14 	180 	1.0u 		C0402	top
C9 	24.52	33.26 	180 	2.2u 		C0402	top
C10 	36.31	34.63  	90 	1000p 		C0402	top
C11 	37.21	34.63 	270 	1000p 		C0402	top
C12  	9.12 	44.18 	180 	0.1u 		C0402	top
C13  	3.14 	19.89 	270 	.047u		C0402	top
C14  	7.52 	14.54 	180 	.047u 		C0402	top
C15  	3.15 	17.40  	90 	.047u 		C0402	top
C16 	11.05	49.12 	180 	0.1u 		C0402	top
C17 	38.36	34.63 	270 	1000p 		C0402	top
C18  	8.64 	41.28 	270 	0.1u 		C0402	top
C19  	5.36 	15.15 	270 	2.2u 		C0402	top
C20 	10.16	35.03  	90 	2.2u 		C0402	top
C21  	9.28 	35.03  	90 	2.2u 		C0402	top
C22 	11.91	14.87 	270 	2.2u 		C0402	top
C23 	22.59	25.47   0 	2.2u 		C0402	top
C24  	8.39 	35.03  	90 	0.1u 		C0402	top
C25  	9.12 	39.86 	180 	0.47u 		C0402	top
C26 	22.59	24.10   0 	2.2u 		C0402	top
C27  	3.16 	28.33 	270 	2.2u 		C0402	top
C28  	3.14 	25.80  	90 	2.2u 		C0402	top
C29 	17.02	35.03  	90 	2.2u 		C0402	top
C30 	12.83	14.84 	270 	2.2u 		C0402	top
C31 	23.60	26.61 	180 	1.0u 		C0402	top
C32 	35.06	24.17  	90 	1.0u 		C0402	top
C33 	23.37	37.70   0 	0.47u 		C0402	top
C34 	34.80	37.70   0 	0.47u 		C0402	top
C35 	39.15	21.04 	180 	0.1u 		C0402	top
C36 	36.96	22.08   0 	0.1u 		C0402	top
C37  	4.32 	11.92   0 	0.1u 		C0402	top
C38  	9.15 	10.65   0 	0.1u 		C0402	top
C39  	7.39 	42.72 	270 	0.1u 		C0402	top
C40  	1.02 	7.47  	90 	0.1u 		C0402	top
C41 	24.52	31.10   0	.047u 		C0402	top
C42 	24.52	31.99   0 	.047u 		C0402	top
C43 	24.52	20.81 	180 	1.0u 		C0402	top
C44 	36.96	21.19   0 	1.0u 		C0402	top
C45 	37.98	13.95   0 	4.7u 		C0805	top
C46 	36.96	15.48   0 	1.0u 		C0402	top
C47 	36.96	16.36   0 	2.2u 		C0402	top
C48 	25.53	14.97 	270 	1000p 		C0402	top
C49  	7.24  	9.25 	270 	.047u		C0402	top
C50 	48.12 	44.94   0 	0.001u 		C0402	top
C51 	45.75 	36.94 	270 	0.001u 		C0402	top
C52 	45.75 	41.00 	270 	0.001u 		C0402	top
C53 	46.36 	5.06 	180 	0.001u 		C0402	top
C54 	45.75 	6.97 	270 	0.001u 		C0402	top
C55 	45.75 	13.19  	90 	0.001u 		C0402	top
C56  	7.24 	11.16 	270 	.047u 		C0402	top
